loc,cnt
seoul-1,1393 
seoul-2,28 
seoul-3,14 
seoul-4,90 
seoul-5,99 
seoul-6,44 
seoul-7,163 
seoul-8,228 
seoul-9,12 
seoul-10,5 
seoul-11,30 
seoul-12,54 
seoul-13,241 
seoul-14,25 
seoul-15,410 
seoul-16,147 
seoul-17,15 
seoul-18,247 
seoul-19,29 
seoul-20,206 
seoul-21,83 
seoul-22,10 
seoul-23,72 
seoul-24,158 
seoul-25,9 
kyung-1,15 
kyung-2,81 
kyung-3,22 
kyung-4,43 
kyung-5,19 
kyung-6,18 
kyung-7,43 
kyung-8,20 
kyung-9,17 
kyung-10,36 
kyung-11,29 
kyung-12,22 
kyung-13,10 
kyung-14,68 
kyung-15,10 
kyung-16,11 
kyung-17,13 
kyung-18,376 
kyung-19,317 
kyung-20,45 
kyung-21,43 
kyung-22,100 
kyung-23,16 
kyung-24,54 
kyung-25,13 
kyung-26,17 
kyung-27,25 
kyung-28,40 
kyung-29,22 
kyung-30,15 
kyung-31,20 
kyung-32,80 
kyung-33,52 
kyung-34,18 
kyung-35,11 
kyung-36,9 
kyung-37,15 
kyung-38,9 
kyung-39,16 
kyung-40,82 
kyung-41,35 
kyung-42,27 
kyung-43,28 
kyung-44,16 
kyung-45,21 
kyung-46,27 
kyung-47,19 
kyung-48,31 
kyung-49,14 
kyung-50,30 
kyung-51,49 
incheon-1,51 
incheon-2,54 
incheon-3,65 
incheon-4,51 
incheon-5,56 
incheon-6,64 
incheon-7,65 
incheon-8,83 
incheon-9,49 
incheon-10,53 
